Run,OverallPos,Time,AgeCat,AgeGrade,GenderPos,Note
01,325,30:32:00,SM30-34,42.96%,222,First Timer (Cheltenham 3 lap)
02,265,27:48:00,SM30-34,47.35%,202,PB
03,217,26:22:00,SM30-34,49.75%,182,PB
04,257,26:55:00,SM30-34,48.73%,203,-
05,193,26:49:00,SM30-34,48.91%,154,-
06,185,25:33:00,SM30-34,51.34%,159,PB
07,120,24:43:00,SM30-34,53.07%,101,PB
08,134,24:56:00,SM30-34,52.61%,123,-
09,079,24:19:00,SM30-34,53.94%,069,PB
10,108,23:55:00,SM30-34,54.84%,093,PB
11,112,24:16:00,SM30-34,54.05%,103,-
12,163,24:43:00,SM30-34,53.07%,145,-
13,041,24:32:00,SM30-34,53.46%,041,First Time (Roundshaw)
14,203,26:51:00,SM30-34,48.85%,164,-
15,107,23:42:00,SM30-34,55.34%,093,PB
16,104,23:16:00,SM30-34,56.38%,090,-
17,170,26:31:00,SM30-34,49.47%,132,-
18,077,22:53:00,SM30-34,57.32%,073,PB
19,089,23:41:00,SM30-34,55.38%,081,-
20,087,23:07:00,SM30-34,56.74%,081,-
21,082,23:40:00,SM30-34,55.42%,080,First Time (Cheltenham winter 4 lap)
22,062,23:14:00,SM30-34,56.46%,056,-
23,084,23:06:00,SM30-34,56.78%,074,-
24,058,22:24:00,SM30-34,58.56%,051,PB
25,071,23:31:00,SM30-34,55.78%,052,-
26,065,27:17:00,SM30-34,48.08%,079,First Time (Parke)
27,083,23:11:00,SM30-34,56.58%,077,(Chelt. old 3 lap)
28,083,23:44:00,SM30-34,55.27%,074,-
29,070,23:20:00,SM30-34,56.21%,060,-
30,072,23:13:00,SM30-34,56.50%,062,-
31,078,24:03:00,SM30-34,54.54%,068,-
32,067,23:10:00,SM30-34,56.62%,064,-
33,090,24:08:00,SM35-39-54.63%,077,-
